word,freq
final,45614
summer,45611
bob,45572
listening,45564
escape,45553
everywhere,45430
moon,45422
arms,45390
turns,45374
address,45332
match,45223
gasps,45214
grand,45183
yep,45096
shh,44939
nervous,44913
choose,44853
decide,44806
mate,44782
drinking,44770
press,44624
bother,44619
foot,44588
blame,44534
crap,44529
drugs,44516
type,44489
rings,44331
mission,44289
named,44264
heaven,44231
picked,44114
paris,44110
race,44089
risk,44005
books,43897
danny,43801
action,43798
allowed,43797
orders,43786
learned,43716
price,43671
arrived,43640
nick,43636
otherwise,43596
pictures,43550
fit,43502
smoke,43421
favor,43370
played,43357
notice,43315
awesome,43298
smile,43295
director,43294
guard,43270
begin,43130
spot,43079
surprised,43018
innocent,42962
narrator,42916
london,42880
feelings,42843
enemy,42799
battle,42785
alex,42710
dollars,42705
allow,42649
nine,42538
gay,42536
department,42487
guilty,42459
apart,42417
earlier,42407
duty,42329
jim,42323
suit,42315
bell,42299
west,42219
legs,42152
hero,42093
destroy,42078
stage,42074
bunch,42064
according,42026
chicken,41996
bigger,41873
grunting,41866
low,41837
helping,41832
admit,41817
closed,41801
names,41772
witness,41753
upstairs,41732
arm,41726
steal,41720
jimmy,41706
kick,41697
twice,41693
cross,41692
ways,41675
sergeant,41650
indeed,41591
gas,41535
keeping,41371
energy,41290
pregnant,41290
waste,41240
helped,41235
fired,41193
favorite,41153
tony,41145
taste,41080
locked,41079
places,41041
writing,41035
adam,41028
brothers,41025
starts,41012
prince,40914
form,40833
sold,40796
silly,40758
mention,40753
build,40738
throat,40719
hole,40658
figured,40590
track,40578
ringing,40518
lock,40462
leg,40449
hiding,40387
steve,40377
seemed,40343
breakfast,40285
engine,40282
written,40246
complete,40210
video,40195
applause,40194
however,40098
pressure,40065
fresh,40049
weapon,40033
sky,39986
stole,39897
study,39882
burn,39874
reading,39869
crowd,39856
treat,39803
roll,39791
double,39770
spirit,39556
danger,39518
cost,39485
empty,39482
level,39476
memory,39331
acting,39326
interest,39252
nose,39194
plans,39142
following,39136
bathroom,39095
built,39041
closer,39022
ray,38995
sarah,38933
band,38918
groans,38867
apparently,38705
excited,38640
richard,38625
losing,38585
animals,38518
flight,38504
nature,38496
raise,38449
pop,38419
client,38407
bomb,38395
neck,38371
suspect,38365
warm,38355
extra,38335
bottle,38229
van,38223
heavy,38220
mommy,38167
dogs,38164
wild,38162
ridiculous,38121
simply,38100
lee,38047
animal,38036
showed,38007
billy,37951
shooting,37914
keeps,37914
camp,37907
guns,37893
medical,37844
shame,37793
hoping,37769
bird,37711
majesty,37699
flowers,37699
famous,37634
asleep,37535
beauty,37515
driver,37474
keys,37443
rain,37417
awful,37405
large,37373
local,37344
deserve,37283
goddamn,37270
stone,37203
jane,37198
grace,37180
consider,37165
weekend,37115
wondering,37023
lay,36984
plenty,36941
willing,36938
pants,36916
sweetheart,36907
skin,36861
excellent,36849
asshole,36844
beach,36841
faith,36815
beg,36807
fuckin,36802
responsible,36781
military,36733
cheering,36723
opportunity,36711
common,36698
bottom,36680
german,36610
whoever,36535
cook,36531
walked,36528
papers,36502
justice,36481
hall,36354
commander,36345
drug,36316
main,36292
knife,36197
devil,36189
necessary,36124
although,36046
princess,36046
lights,36039
flying,36023
dick,35996
rose,35942
knowing,35876
clearly,35837
hat,35828
agreed,35752
johnny,35735
corner,35734
code,35711
note,35701
tommy,35690
